Term	Name	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
IL2_UP.V1_UP	gsea	0.4655691865271188	1.7369446140196518	0.003913894324853229	0.08575652247631561	0.155	76/175	17.10%	TNFRSF12A;LRP8;TLCD3A;FOSL1;LGALSL;TRIB1;POLR1G;SPATA2L;ATG101;TWNK;PUS1;SPRY2;MFSD12;KCTD12;URB2;SLC7A5;ESRP2;DUSP6;TNFRSF21;BMP2;KIF13A;CCR4;KCNG1;LIF;CD69;PRKCD;TNFRSF1B;RGCC;CDCP1;TPBG;HOXA11;KCNK5;IRS1;FLT1;HEG1;CISH;IL1A;OR6A2;ADAM19;RHOB;ZNF215;DUSP4;EGR3;SPHK1;AIM2;TM4SF1;YRDC;SLCO4A1;PLEC;MAFF;CAPN10;USP36;HK2;GNRH2;AMIGO2;AP3M2;PUS7;TNFSF14;EVPL;KIF1C;RGS3;TM4SF5;IL5;OR10J1;PLXNA3;LMO3;SLC34A1;EHD2;JUNB;ZNF343;CNKSR2;PMM2;ABTB2;GFAP;NCS1;INHBB
IL15_UP.V1_UP	gsea	0.4222861082625122	1.7162253080784402	0.002008032128514056	0.07622801997894721	0.193	72/172	20.05%	TNFRSF12A;NOP2;ETV4;LRP8;TLCD3A;FOSL1;LGALSL;TRIB1;POLR1G;TWNK;PNO1;PUS1;SPRY2;MFSD12;KCTD12;URB2;SLC7A5;DUSP6;TNFRSF21;BMP2;LIF;CD69;ECM1;RGCC;IRS1;ATOSB;HEG1;CISH;IL1A;ADAM19;RHOB;ZNF215;CNNM4;DUSP4;HS3ST1;EGR3;AIM2;YRDC;SLCO4A1;PLEC;MAFF;ZBTB7A;CAPN10;USP36;HK2;AP3M2;PUS7;CALML5;KIF1C;RGS3;IL5;PLXNA3;CPA4;SHROOM2;ZBTB48;LSP1;JUNB;ZNF343;PMM2;SLAMF7;INHBB;ZNF276;MAFK;TMEM209;TMEM158;ZBTB32;PSG4;LIME1;VDR;SOCS2;ZNF205;DLX2
PDGF_ERK_DN.V1_DN	gsea	0.39326976506822564	1.6522912131097323	0.013539651837524178	0.09519318398575757	0.311	41/142	10.83%	MYC;DHX34;E2F6;PPRC1;ZFP36L2;TFIP11;ADM;TRIB1;SNAPC4;MGAT1;PITPNM1;JUN;BRPF1;DUSP1;NOP16;SPRY2;FBXL18;DTX2;CCNF;DUSP6;ANKRD40;EDRF1;EEIG1;SMAD7;DUSP8;BNC1;MAFG;ERF;DYRK2;ZSCAN9;ZNF202;FBXL14;RHOB;DNAJB1;EFNB2;MAFF;ISL1;KLHL25;ARHGEF16;TGIF1;PPP2R5B
CSR_EARLY_UP.V1_UP	gsea	0.5076863297701862	1.6363164851625807	0.046153846153846156	0.08954496322828136	0.331	56/152	11.77%	TNFRSF12A;PLAUR;FJX1;BCAR3;ELOA;CTPS1;TLNRD1;HMGA1;F3;NIP7;ATG101;EIF4A1;INHBA;CRISPLD2;BRPF1;NOP16;SPRY2;SPRY4;ELK3;AMMECR1L;BCAR1;PPIF;HBEGF;ST3GAL1;FRMD6;RRP9;KLF13;SMAD7;PXN;GNL2;CD274;UAP1;GAL;IRAK1;ZNF697;TENT4A;PUM3;ID3;USP12;NET1;GTPBP4;USP36;IL11;MSANTD3;PNP;CSRNP2;MAP2K3;POM121;DDX21;EHD4;ADRM1;TIMM22;C8orf76;LRRC8A;ITPRIPL2;SOX9
ESC_J1_UP_EARLY.V1_DN	gsea	0.36585949528991657	1.6116643265037496	0.0248565965583174	0.0961378341472867	0.38	37/168	10.13%	MYC;TNFRSF12A;ETV4;SFN;ANGPTL4;SERPINE1;CCN1;RRP8;NOL12;EDN1;RRP12;ANXA3;UBE2J1;GPATCH4;SPRY4;BMS1;TAGLN;DUSP6;DAPP1;TRIB3;GBP1;NAB2;PACRGL;KLF13;ERF;TLR9;ERAS;DIMT1;ID3;ZFP36L1;MAPK7;ANXA1;C11orf24;ATF5;RELB;ACTA1;LAMC2
BMI1_DN.V1_UP	gsea	0.4734014176661966	1.6107929160960544	0.039473684210526314	0.08463721043596209	0.383	62/144	17.86%	FJX1;SLCO2A1;TLCD3A;LCP1;TIMP3;KRT17;F3;EDN1;ANXA3;EPHA2;INHBA;CRISPLD2;PTHLH;GPRC5A;SLC7A5;STC2;TGFB2;TAGLN;HBEGF;VANGL1;LIF;DKK1;MMP15;LAMB3;FLNB;CDCP1;SLC52A2;TIE1;PDCD1LG2;CHST3;ADGRE5;TNFRSF8;COL16A1;GAL;CTNS;ITGA3;TRIO;JAG1;SLCO4A1;FGFR1;LRRC15;CSF1;PLXNA2;KCNC4;FKRP;FURIN;SLC5A6;TAP1;GDF5;CPA4;COL7A1;TCIM;BDKRB2;LHFPL2;ATP13A2;GFPT2;ADAM12;TNFAIP6;STX1A;PMEPA1;SLC29A1;C2CD2L
