"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"REV3L",541.198161180226,-0.514803518949311,0.182852408297743,-2.81540464105369,0.00487158521695094,0.0561045586296095
"TRAF3IP3",7.23733466943601,-3.35696766592954,0.922607130809692,-3.63856678951031,0.000274159530995448,0.00814442284808619
"PHF7",67.2218570306474,-0.752094509492095,0.285886822078064,-2.63074213783358,0.00851986530027594,0.0791572939716547
"ZNF200",298.789984225079,0.375630614685906,0.121030943090318,3.1035915700136,0.00191187060803558,0.030245222258903
"ELOA",2400.07263151654,0.48511203211624,0.105537423372779,4.59658779429101,4.29466059722689e-06,0.000334765154010957
"MBTD1",255.60180905519,-0.713407626580121,0.202679052048057,-3.51988831293214,0.00043172855391611,0.0109294657951937
"TTC19",1086.07631466281,0.563457883844337,0.165884053978885,3.39669709251294,0.000682044204407665,0.0149367680765279
"PLAUR",997.634654715587,1.14507534524706,0.204447386660214,5.60083141170274,2.13326134243325e-08,5.77109936108855e-06
"PPP5C",2694.76575313984,0.63921488106771,0.111611623853905,5.7271353914214,1.02140650920074e-08,3.13163235720946e-06
"PRICKLE3",237.429113295259,0.85444128876602,0.24674464043575,3.46285652753017,0.000534473304713064,0.0125198349472704
"LTF",80.690837520389,-0.824790171677646,0.306822922625845,-2.68816346777139,0.00718462152438273,0.0704021471391396
"PSMC4",2462.54600035289,0.484854672420103,0.0971279652662331,4.99191629404662,5.97831650021331e-07,7.52834774487075e-05
"MVP",3077.23728664239,0.504614896582091,0.179618641154835,2.80936818883461,0.00496388411492524,0.0566005860608459
"POLR3B",833.55966608547,0.317434062718957,0.126953151070174,2.50040318056771,0.0124052036325176,0.0992200547929537
"GPRC5A",3780.20099151782,0.653741166669687,0.259797414346761,2.51634978089934,0.0118577436471803,0.0967038787603905
"ZC3H3",608.350254941726,0.79338210463302,0.204870491747995,3.87260311557671,0.000107679095154765,0.00402614763103059
"MDH1",4796.58854774303,-0.52337908860666,0.203433268182881,-2.57273106449903,0.0100899578156655,0.0877973572576485
"MTMR11",159.50440419362,0.889466185434479,0.222476496087757,3.99802316683207,6.38737008669263e-05,0.00281228715432865
"WAS",14.2798427689075,-2.10441619432985,0.820117719597625,-2.56599283742137,0.0102880952596663,0.088882185533886
"ZFP64",508.39402219524,0.369969866163593,0.122710656009442,3.01497749417236,0.00256998324882203,0.0367169942622761
"MRE11",631.917431205988,-0.634639825608527,0.186588973292524,-3.40127186730147,0.000670730861103211,0.0147828653205128
"PLEKHB1",73.5565555972552,-1.04864992749576,0.412522435008781,-2.54204338601229,0.0110206492708576,0.0925655310271323
"RNF10",3497.24316319447,-0.335443051577871,0.114399036390157,-2.93221920535977,0.00336549107518664,0.0435996998726292
"ABCC2",290.834160561675,0.884935995342814,0.343224484359496,2.57830089538695,0.00992874995072863,0.0868655441155376
"GCLM",757.831498919206,0.588651813600649,0.223476763058994,2.6340627345012,0.00843698977028692,0.0786521269328707
"HSF2",486.359653888172,-0.695146014756851,0.179266470815555,-3.87772466091597,0.000105437947942937,0.00398555443224301
"CD44",1564.55962312025,1.23059479919747,0.375659085942873,3.2758286575414,0.00105352455524943,0.0202162424044178
"KCNG1",260.387318113878,0.811031698684118,0.253656827751329,3.19735804422819,0.00138692657309688,0.0243143912693999
"IFNGR1",2541.56304458216,0.563313870233257,0.165698669925484,3.39962819548633,0.000674775400030941,0.0148246436213804
"TNFRSF1B",275.634428770629,0.833128159489976,0.299482113986265,2.78189621543871,0.0054042319121889,0.0596742737711764
"BRD9",794.779846778588,0.295897455253572,0.115859482023045,2.55393386960523,0.0106513484151351,0.0909931353093335
"ZCCHC8",673.889953778446,0.356973927409745,0.135198519139639,2.64036862002198,0.00828158953758368,0.0776230236753003
"ABCF2",1616.67206853366,0.459475046157102,0.151786586709265,3.02711231682935,0.00246902199154697,0.0356551760795214
"FUT8",1403.694991127,-0.357649343009396,0.126206064863729,-2.83385226689041,0.00459905878527804,0.0544662781635031
"PEX3",769.661178822124,-0.562121886690545,0.170096114351449,-3.30473090954389,0.000950676276838411,0.0188998279416997
"PI4K2B",1004.04518720411,-0.415914283328412,0.123738946162289,-3.36122373939506,0.000775979394966744,0.0162708019944623
"EDC4",2123.41575433192,0.368811708619661,0.143850581446096,2.56385274854008,0.0103517451680399,0.0890417880819495
"RIPOR1",1916.92227749587,0.710768534779497,0.273720283261959,2.59669662148957,0.00941250174226787,0.0839073197378114
"PHF23",1052.95778548388,0.40712931416798,0.129551021091553,3.14261756285396,0.00167444456638918,0.0275490178327014
"LSG1",1416.8971003456,0.460277606117336,0.129423677717103,3.55636321140108,0.000376024124568217,0.00984441147375272
"RIPOR3",5.42859015281284,-1.96858568188981,0.760057473774039,-2.59004845004005,0.00959624248602228,0.0849803322077339
"ADAM28",6.88153662113352,-2.23317592379742,0.760484974023384,-2.93651551322926,0.00331922218121984,0.0432847905806145
"HSPA5",20682.954076992,-0.401835561366988,0.110999909218386,-3.62014315323808,0.000294440069550867,0.00855239924124908
"ATOSA",218.13094034858,-0.82830907145819,0.258533010405259,-3.203881276746,0.00135588376219921,0.0238856089101543
"WWC3",596.983784835646,-0.649348098994888,0.164716154127967,-3.94222474676294,8.07292739487607e-05,0.00329722468775256
"NOP16",998.389563037748,0.650392380061406,0.192629410744532,3.37639188921138,0.000734432287260364,0.0157344134585889
"RRM2B",519.695968841377,-0.950705627558442,0.269282833197112,-3.53050959940895,0.00041475996467247,0.0106365115847325
"CELF2",19.203273330503,-2.38662958645976,0.587120939613878,-4.06497098882104,4.80384370303548e-05,0.00225579436494922
"ARHGEF5",1477.74185858916,0.490827295377485,0.126250506476687,3.88772535711071,0.000101188026308171,0.0038672886398167
"LIMA1",7329.9339435194,0.458710647803483,0.136459094002913,3.36152494016773,0.00077513356166239,0.0162708019944623
"BCAR1",2765.64018706102,0.518898667220821,0.179298165663472,2.89405452253623,0.00380302119668033,0.0474844194123063
"HERPUD1",1078.16827987092,-0.569369318384882,0.159130511557615,-3.57800218708361,0.000346230555203759,0.00936655484342405
"HOMER3",654.520895440069,0.839112281755876,0.288962068990512,2.90388383737461,0.00368564879393597,0.0466521985412244
"MPHOSPH9",243.565157219854,-0.765969151965661,0.243279241724127,-3.1485183303648,0.00164100431164367,0.0272126640477737
"PRSS8",2518.15879654203,-0.690955017460414,0.244832544700563,-2.8221534776166,0.00477023423681483,0.0555869271666674
"RRP12",1738.80247977693,0.785492899449382,0.187457231626428,4.19025125162813,2.78645736727969e-05,0.00147297901518613
"MSMO1",2953.94580492547,-0.70000429824498,0.207067282024874,-3.38056447836549,0.000723371006335939,0.0155215393070248
"OPN3",668.979187619397,-1.16591899114193,0.257589589633055,-4.52626595974946,6.00350175132346e-06,0.000438255627846613
"HHAT",46.1935736279904,-1.18326112593368,0.419044709160393,-2.82371093123808,0.0047471178047605,0.0553643147525618
"FOXC1",212.572409806212,0.591859053692831,0.183521001327323,3.22502083909845,0.00125963499474442,0.0228633813943846
"RELT",391.248238210921,0.859365626805667,0.279487012814876,3.07479627819017,0.00210646384092946,0.0321136813406672
"CYFIP2",290.812128626978,-1.45438566393399,0.456229517678652,-3.18783771671345,0.00143340960218649,0.0248451661826219
"ITIH4",4.1656092608647,-3.07320292106205,1.11239335447304,-2.76269442702476,0.005732640779793,0.0619853015978088
"TRAF1",18.2109837381988,1.33473103883585,0.462448149676484,2.88622852047217,0.00389888950589505,0.048418522513802
"TRAF3IP2",466.822803130713,0.558191751029916,0.197375022823334,2.82807694228637,0.0046828550004723,0.0549592256724869
"DCBLD2",646.538341586758,-0.74642115861563,0.248814780487542,-2.99990682688965,0.00270062203689365,0.0373726000431512
"ATP11B",1477.75414476148,-0.592816135785267,0.163912323049742,-3.61666606119278,0.000298421895091644,0.00861683017034712
"CDK14",398.654433570587,-0.821680832637577,0.229551436432356,-3.5795063860544,0.000344243836413331,0.00934947285628885
"POLR3E",1053.15180357816,0.580792527889017,0.108672610955995,5.34442416336349,9.07049411676019e-08,1.69115685579649e-05
"SLC2A3",16872.3722011567,-0.443438792072399,0.0909890012196984,-4.87354280328553,1.09614504560898e-06,0.000124987712349315
"STYK1",401.182382900901,0.788428890086657,0.22564309006937,3.49414152165824,0.000475588836260381,0.0117173199533651
"PIGV",277.94388692378,-0.487299767515538,0.170789996501905,-2.85321024355254,0.00432799772197337,0.0521211303992923
"BCAT1",7625.28271275972,-1.11903338071908,0.29233521998475,-3.82791160359487,0.000129235150620343,0.00471708299764252
"HDAC7",648.88378758025,0.650482646689964,0.238339785429056,2.7292239334653,0.0063483578332574,0.0659489328303193
"ELMO2",607.174057406855,0.56227727845942,0.162372707309385,3.46288047897149,0.000534425731811994,0.0125198349472704
"EIF4B",7017.44696123159,-0.404059087380174,0.144515384497291,-2.79595898239989,0.00517459673467257,0.0580070994531029
"SPHK2",281.505719277179,-0.768749410904787,0.278570702899383,-2.75962045866126,0.00578685486100554,0.0623187726231802
"CA11",24.009313911846,-1.45581040412369,0.434244257461977,-3.35251503988204,0.000800808903246062,0.0165648582280149
"U2AF2",5103.11407676532,0.423706799419343,0.151545713635735,2.7959009150057,0.00517552652219828,0.0580070994531029
"GPC1",4542.82124952851,0.438643725800302,0.160784283901106,2.72815050798186,0.00636905407618805,0.0659713506675425
"ANKS1A",1626.60681903798,-0.717465407258098,0.26502565464683,-2.70715455156288,0.00678626564111359,0.0681938143120497
"ZNF76",386.400050396063,-0.483166007888571,0.188241155776942,-2.56673948847351,0.0102659706824994,0.0887466149789751
"OAT",2441.44839111736,-0.37637188573588,0.146476096722023,-2.56951061749102,0.0101842270924555,0.0883721894305713
"PACC1",314.341634001049,0.531793334741828,0.166465741203293,3.19461128096253,0.0014001929272278,0.0244847424803067
"TBC1D1",2054.16540519935,-0.389946729548636,0.128839533165755,-3.0266077497111,0.0024731465904256,0.0356551760795214
"ELOVL1",3951.83063690951,0.540516143341096,0.177406635869676,3.0467639538476,0.00231319283418753,0.0342436926322804
"SPI1",21.0674931583224,-2.07183599193891,0.645488017856607,-3.20972029630946,0.00132864191279428,0.0235620468776641
"DDX3Y",21.6142621866064,-1.46741518204701,0.542628046415627,-2.70427448735859,0.00684537168399366,0.0683887071071908
"PFKP",12639.0348782,0.78980410988317,0.173216453166556,4.55963677494156,5.12421736703525e-06,0.000382155821691813
"IDI1",2022.66807430467,-0.661146472218689,0.19824181939122,-3.33505046639,0.000852839201879832,0.0173549003957759
"TNFRSF1A",2172.51731591899,0.46914021709864,0.152279663223097,3.08078050061963,0.00206458786505227,0.031702516481239
"FGFR3",261.948862449458,0.992994668461585,0.383345838140608,2.59033637427247,0.00958821912298955,0.0849638145407108
"INPP5A",495.410141585908,-0.492746867593147,0.172141444180828,-2.8624534314673,0.00420375030533452,0.0511335457002515
"LAPTM4A",4153.05732291754,-0.476007180555395,0.148441341950502,-3.20670221853775,0.00134265901046058,0.0237191630823619
"IP6K2",1134.58509078146,-0.491144367925137,0.163756944264235,-2.99922772821553,0.00270664918118159,0.0374021563249044
"PITX1",313.685317112559,0.865527260376141,0.185193814919249,4.67362941226487,2.95923093346869e-06,0.000252027834500417
"NUP133",1371.71567675187,-0.320246283952501,0.126529217581414,-2.53100659336996,0.0113735710597715,0.0943602885818806
